customer_id,name,email,city,signup_date
1,Customer 1,customer1@example.com,Bogor,2023-01-26
2,Customer 2,customer2@example.com,Bekasi,2023-09-08
3,Customer 3,customer3@example.com,Tangerang,2023-05-23
4,Customer 4,customer4@example.com,Bogor,2024-11-23
5,Customer 5,customer5@example.com,Semarang,2023-03-31
6,Customer 6,customer6@example.com,Medan,2024-03-08
7,Customer 7,customer7@example.com,Jakarta,2023-01-31
8,Customer 8,customer8@example.com,Bogor,2023-08-12
9,Customer 9,customer9@example.com,Tangerang,2024-06-01
10,Customer 10,customer10@example.com,Medan,2023-01-28
11,Customer 11,customer11@example.com,Semarang,2023-07-23
12,Customer 12,customer12@example.com,Semarang,2024-03-05
13,Customer 13,customer13@example.com,Tangerang,2024-04-04
14,Customer 14,customer14@example.com,Medan,2023-10-12
15,Customer 15,customer15@example.com,Jakarta,2023-06-13
16,Customer 16,customer16@example.com,Yogyakarta,2023-12-15
17,Customer 17,customer17@example.com,Bekasi,2023-06-09
18,Customer 18,customer18@example.com,Tangerang,2023-12-11
19,Customer 19,customer19@example.com,Bogor,2023-04-05
20,Customer 20,customer20@example.com,Yogyakarta,2023-04-10
21,Customer 21,customer21@example.com,Bandung,2023-12-19
22,Customer 22,customer22@example.com,Medan,2023-09-28
23,Customer 23,customer23@example.com,Jakarta,2024-04-15
24,Customer 24,customer24@example.com,Semarang,2023-05-08
25,Customer 25,customer25@example.com,Yogyakarta,2023-03-22
26,Customer 26,customer26@example.com,Semarang,2023-10-28
27,Customer 27,customer27@example.com,Medan,2024-01-06
28,Customer 28,customer28@example.com,Medan,2023-07-16
29,Customer 29,customer29@example.com,Bogor,2023-02-16
30,Customer 30,customer30@example.com,Tangerang,2023-10-24
31,Customer 31,customer31@example.com,Bogor,2023-08-27
32,Customer 32,customer32@example.com,Bogor,2024-01-25
33,Customer 33,customer33@example.com,Bekasi,2024-04-09
34,Customer 34,customer34@example.com,Bandung,2023-06-16
35,Customer 35,customer35@example.com,Bandung,2023-12-30
36,Customer 36,customer36@example.com,Tangerang,2024-11-17
37,Customer 37,customer37@example.com,Bekasi,2024-12-19
38,Customer 38,customer38@example.com,Bogor,2024-09-15
39,Customer 39,customer39@example.com,Depok,2024-06-30
40,Customer 40,customer40@example.com,Tangerang,2023-06-17
